 Part name, Function  , Quantity  ,  obs.  ,supplier,supplier number,link
 Nema 17 , Stepper motor for each axis ,3, - , - , - , - 
 Solid wheel , Used to move the plates ,12, - , - , - , - 
 Timing Pulley ,Used to move the plates  ,3, - , - , - , - 
 Tooth Pulley , Used to move the plates ,3, - , - , - , - 
 Timing Belt x1000mm , Used to move the plates  ,5, - , - , - , - 
 T-SLOT Aluminium Profile 20x20 x1000mm, Used as frame for the machine  ,4, -  , - , - , - 
 Servomotor SG-9G , Used for rotate the noodle ,1, - , - , - , - 
 Noodle , Used for collect the sample  ,1, - , - , - , - 
 Syringe , Used for collect the sample  ,1, - , - , - , - 
 M3 Hex Screw , Used for holding motors  ,20, - , - , - , - 
 M3 Hammer Nut , used for holding motors  ,20, - , - , - , - 
 Printed Parts , Frames for fit the pieces  , x  , - , - , - , - 
